fileID	LHAID	mzp	ma	mhp	mh2	mDM	tanBeta	gZ	Sigma[pb]
137	263400	2300.0	300.0	300.0	300.0	100	1.8	0.8	0.0030217
138	263400	2300.0	300.0	300.0	300.0	100	2.0	0.8	0.0026718
169	263400	2300.0	300.0	300.0	300.0	100	2.5	0.8	0.0019785
170	263400	2300.0	300.0	300.0	300.0	100	3.0	0.8	0.0014912
201	263400	2300.0	300.0	300.0	300.0	100	3.5	0.8	0.0011503
202	263400	2300.0	300.0	300.0	300.0	100	4.0	0.8	0.00090737
233	263400	2300.0	300.0	300.0	300.0	100	4.5	0.8	0.00072933
234	263400	2300.0	300.0	300.0	300.0	100	5.0	0.8	0.00059837
265	263400	2300.0	300.0	300.0	300.0	100	7.0	0.8	0.00030592
266	263400	2300.0	300.0	300.0	300.0	100	10.0	0.8	0.00014214
58	263400	2450.0	300.0	300.0	300.0	100	0.4	0.8	0.0014248
74	263400	2450.0	300.0	300.0	300.0	100	0.6	0.8	0.0023378
84	263400	2450.0	300.0	300.0	300.0	100	0.8	0.8	0.0028567
290	263400	2450.0	300.0	300.0	300.0	100	1.0	0.8	0.0030025
94	263400	2450.0	300.0	300.0	300.0	100	1.2	0.8	0.0028914
107	263400	2450.0	300.0	300.0	300.0	100	1.4	0.8	0.0026721
108	263400	2450.0	300.0	300.0	300.0	100	1.6	0.8	0.0024112
139	263400	2450.0	300.0	300.0	300.0	100	1.8	0.8	0.0021457
140	263400	2450.0	300.0	300.0	300.0	100	2.0	0.8	0.0019059
171	263400	2450.0	300.0	300.0	300.0	100	2.5	0.8	0.0014079
172	263400	2450.0	300.0	300.0	300.0	100	3.0	0.8	0.0010615
203	263400	2450.0	300.0	300.0	300.0	100	3.5	0.8	0.00081808
204	263400	2450.0	300.0	300.0	300.0	100	4.0	0.8	0.00064608
235	263400	2450.0	300.0	300.0	300.0	100	4.5	0.8	0.00051946
236	263400	2450.0	300.0	300.0	300.0	100	5.0	0.8	0.0004249
267	263400	2450.0	300.0	300.0	300.0	100	7.0	0.8	0.00021786
268	263400	2450.0	300.0	300.0	300.0	100	10.0	0.8	0.00010164
