LHAID	mzp	ma	mhp	mh2	mDM	tanBeta	gZ	Sigma[pb]
263400	2500.0	1100.0	1100.0	1100.0	100	1.0	0.8	0.00056059
263400	2500.0	1200.0	1200.0	1200.0	100	1.0	0.8	0.00047851
263400	2600.0	300.0	300.0	300.0	100	1.0	0.8	0.0021492
263400	2600.0	400.0	400.0	400.0	100	1.0	0.8	0.001124
263400	2600.0	500.0	500.0	500.0	100	1.0	0.8	0.00092298
263400	2600.0	600.0	600.0	600.0	100	1.0	0.8	0.00082449
263400	2600.0	700.0	700.0	700.0	100	1.0	0.8	0.00074737
263400	2600.0	800.0	800.0	800.0	100	1.0	0.8	0.00067419
263400	2600.0	900.0	900.0	900.0	100	1.0	0.8	0.0006059
263400	2600.0	1000.0	1000.0	1000.0	100	1.0	0.8	0.00053814
263400	2600.0	1100.0	1100.0	1100.0	100	1.0	0.8	0.00047338
263400	2600.0	1200.0	1200.0	1200.0	100	1.0	0.8	0.00040994
263400	2750.0	300.0	300.0	300.0	100	1.0	0.8	0.0015511
263400	2750.0	500.0	500.0	500.0	100	1.0	0.8	0.00067388
263400	2750.0	800.0	800.0	800.0	100	1.0	0.8	0.00050351
263400	2800.0	300.0	300.0	300.0	100	1.0	0.8	0.0014037
263400	2800.0	400.0	400.0	400.0	100	1.0	0.8	0.0007323
263400	2800.0	500.0	500.0	500.0	100	1.0	0.8	0.00060648
263400	2800.0	600.0	600.0	600.0	100	1.0	0.8	0.00054612
263400	2800.0	700.0	700.0	700.0	100	1.0	0.8	0.00049911
263400	2800.0	800.0	800.0	800.0	100	1.0	0.8	0.00045598
263400	2800.0	900.0	900.0	900.0	100	1.0	0.8	0.00041471
263400	2800.0	1000.0	1000.0	1000.0	100	1.0	0.8	0.00037348
263400	2800.0	1100.0	1100.0	1100.0	100	1.0	0.8	0.00033449
263400	2800.0	1200.0	1200.0	1200.0	100	1.0	0.8	0.00029571
263400	3000.0	300.0	300.0	300.0	100	1.0	0.8	0.00092077
263400	3000.0	400.0	400.0	400.0	100	1.0	0.8	0.00048255
263400	3000.0	500.0	500.0	500.0	100	1.0	0.8	0.0004022
263400	3000.0	600.0	600.0	600.0	100	1.0	0.8	0.00036418
